Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
edu.umd.cs.findbugs.JavaVersion,0,67,75,40,3,0,0.007760866071878636,3
edu.umd.cs.findbugs.JavaVersionException,1,100,,,2,0,0.013144069425743629,2
edu.umd.cs.findbugs.L10N,6,80,,0,3,0,0.005248264627286006,5
edu.umd.cs.findbugs.LaunchAppropriateUI,0,71,84,0,2,0,0.007755311911085555,9
edu.umd.cs.findbugs.LocalVariableAnnotation,91,83,81,18,6,6,0.06160747373450753,16
edu.umd.cs.findbugs.Lookup,,,,0,4,0,0.0074290895179309705,4
edu.umd.cs.findbugs.MethodAnnotation,252,90,87,10,4,4,0.13690146335411055,23
edu.umd.cs.findbugs.MethodWarningSuppressor,0,0,,0,1,1,0.009462626964146193,2
edu.umd.cs.findbugs.NewResults,0,25,100,0,1,0,0.008245706936984645,3
edu.umd.cs.findbugs.NoClassesFoundToAnalyzeException,0,0,,0,1,0,0.008372378830939397,2
edu.umd.cs.findbugs.NoOpFindBugsProgress,,,,0,6,6,0.010771462024223341,2
edu.umd.cs.findbugs.NonReportingDetector,,,,,0,0,-2.0,3
edu.umd.cs.findbugs.NonReportingDetectorToDetector2Adapter,,,,,1,1,4.9E-324,2
edu.umd.cs.findbugs.OpcodeStack,1251,93,89,26,1,0,0.007143592114811667,86
edu.umd.cs.findbugs.PackageMemberAnnotation,31,76,60,29,3,2,0.03306967439384175,14
edu.umd.cs.findbugs.PackageStats,34,77,73,38,1,1,0.007535861588112567,16
edu.umd.cs.findbugs.PackageWarningSuppressor,0,0,0,100,1,1,0.009715660932346909,2
edu.umd.cs.findbugs.ParameterWarningSuppressor,0,0,,0,1,1,0.009381185988467166,2
edu.umd.cs.findbugs.Plugin,281,91,96,4,6,0,0.005824169526277351,52
edu.umd.cs.findbugs.PluginException,1,100,,,2,0,0.009462626964146193,2
edu.umd.cs.findbugs.PluginLoader,46,81,75,0,2,0,0.006230347648693244,110
edu.umd.cs.findbugs.PrintingBugReporter,10,80,100,0,4,6,0.0061722866434618445,24
edu.umd.cs.findbugs.Priorities,,,,,0,0,-2.0,3
edu.umd.cs.findbugs.Project,955,93,93,20,3,1,0.008708403019673603,56
edu.umd.cs.findbugs.ProjectStats,135,81,80,20,4,1,0.00463540916088099,24
edu.umd.cs.findbugs.QueryBugAnnotations,4,50,0,33,2,0,0.009068974124303186,3
edu.umd.cs.findbugs.RecursiveFileSearch,2,60,83,67,7,0,0.006293665916045964,2
edu.umd.cs.findbugs.ResourceCreationPoint,0,33,100,0,9,0,0.008308560103666438,2
edu.umd.cs.findbugs.SAXBugCollectionHandler,123,87,86,50,1,0,0.015625864296268874,58
edu.umd.cs.findbugs.SelfCalls,2,62,73,20,1,0,0.006502446361309381,2
edu.umd.cs.findbugs.ShowHelp,,,,0,1,0,0.012676586759482907,8
edu.umd.cs.findbugs.SloppyBugComparator,27,77,50,0,2,0,0.033890969742976285,3
edu.umd.cs.findbugs.SortedBugCollection,1889,93,92,8,5,0,0.004566071399548971,89
edu.umd.cs.findbugs.SortingBugReporter,1,33,0,33,2,4,0.00797070095542326,5
edu.umd.cs.findbugs.SourceLineAnnotation,1493,96,91,4,5,6,0.30335737630571674,15
edu.umd.cs.findbugs.StatelessDetector,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.StringAnnotation,51,90,78,23,5,6,0.1301162816346788,14
edu.umd.cs.findbugs.SuppressionMatcher,4,60,66,30,2,2,0.012068837768933641,2
edu.umd.cs.findbugs.SwitchHandler,0,20,0,50,1,0,0.009981115679370638,6
edu.umd.cs.findbugs.SystemProperties,15,100,,0,6,0,0.009545494351519395,24
edu.umd.cs.findbugs.TextUIBugReporter,69,85,88,9,4,2,0.007840331358934386,16
edu.umd.cs.findbugs.TextUICommandLine,88,86,89,11,3,3,0.005111989009391929,42
edu.umd.cs.findbugs.TextUIProgressCallback,0,62,67,60,1,6,0.008569856120764207,3
edu.umd.cs.findbugs.TigerSubstitutes,,,,0,8,0,0.00887292257791782,2
edu.umd.cs.findbugs.Token,0,81,100,0,1,0,0.009629825956356568,2
edu.umd.cs.findbugs.Tokenizer,0,44,50,0,2,0,0.010423727242993227,2
edu.umd.cs.findbugs.TrainingDetector,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.TypeAnnotation,35,89,78,27,4,5,0.14403444252701195,10
edu.umd.cs.findbugs.UseAnnotationDatabase,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.Version,1,74,,0,2,0,0.003077444309551371,71
edu.umd.cs.findbugs.VersionInsensitiveBugComparator,30,78,75,30,3,0,0.04765782434951357,3
edu.umd.cs.findbugs.WarningComparator,,,,0,2,0,0.008994141430811124,2
edu.umd.cs.findbugs.WarningSuppressor,1,33,,0,2,2,0.009984560737448371,2
edu.umd.cs.findbugs.XDocsBugReporter,35,87,91,20,2,5,0.0071674180985334,10
edu.umd.cs.findbugs.XMLBugReporter,,,,0,3,1,0.008569856120764208,17
edu.umd.cs.findbugs.XMLWriteableWithMessages,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.BugInstanceTest,15,33,0,100,3,0,0.008368118645275376,8
edu.umd.cs.findbugs.ClassScreenerTest,9,74,69,33,3,0,0.005417764302400718,2
edu.umd.cs.findbugs.FindBugsTestCase,,100,,,1,0,4.9E-324,14
edu.umd.cs.findbugs.JUnitDetectorAdapter,15,75,83,13,4,2,0.007922802369528956,2
edu.umd.cs.findbugs.OpcodeStackItemTest,,,,0,1,0,4.9E-324,3
edu.umd.cs.findbugs.RunnableWithExceptions,,,,0,1,0,4.9E-324,1
edu.umd.cs.findbugs.TigerSubstitutesTest,6,75,100,0,2,0,0.007974452020588102,1
edu.umd.cs.findbugs.annotations.CheckReturnValue,,,,0,2,0,0.013150973908877995,4
edu.umd.cs.findbugs.annotations.CleanupObligation,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.annotations.CreatesObligation,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.annotations.DefaultAnnotation,,,,0,2,0,0.0073554220932586555,6
edu.umd.cs.findbugs.annotations.DefaultAnnotationForFields,,,,0,2,0,0.0073061197131175015,3
edu.umd.cs.findbugs.annotations.DefaultAnnotationForMethods,,,,0,2,0,0.0073061197131175015,3
edu.umd.cs.findbugs.annotations.DefaultAnnotationForParameters,,,,0,2,0,0.0073061197131175015,5
edu.umd.cs.findbugs.annotations.DischargesObligation,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.annotations.ExpectWarning,,,,0,1,0,4.9E-324,11
edu.umd.cs.findbugs.annotations.ExpectWarning,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.annotations.NoWarning,,,,0,1,0,4.9E-324,11
edu.umd.cs.findbugs.annotations.NoWarning,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.annotations.OverrideMustInvoke,,,,0,1,0,4.9E-324,5
edu.umd.cs.findbugs.annotations.ReturnValuesAreNonnullByDefault,,,,,0,0,-2.0,3
edu.umd.cs.findbugs.annotations.SuppressWarnings,,,,0,2,0,0.006847163766568252,6
edu.umd.cs.findbugs.anttask.AbstractFindBugsTask,246,91,90,4,1,1,0.005695491490402001,12
edu.umd.cs.findbugs.anttask.ComputeBugHistoryTask,48,82,87,0,2,5,0.007801172609689746,2
edu.umd.cs.findbugs.anttask.ConvertXmlToTextTask,10,61,58,0,3,4,0.011489601673308975,5
edu.umd.cs.findbugs.anttask.DataFile,1,33,0,100,2,0,0.0099825991391153,2
edu.umd.cs.findbugs.anttask.FilterBugsTask,517,93,95,0,4,8,0.010514517916667507,6
edu.umd.cs.findbugs.anttask.FindBugsTask,582,94,95,1,3,4,0.00482503191294647,16
edu.umd.cs.findbugs.anttask.FindBugsViewerTask,81,88,90,14,2,0,0.006290318453415864,5
edu.umd.cs.findbugs.anttask.MineBugHistoryTask,52,77,71,5,4,7,0.007797955103060954,2
edu.umd.cs.findbugs.anttask.SetBugDatabaseInfoTask,108,86,85,0,4,7,0.009233872400871817,3
edu.umd.cs.findbugs.asm.AbstractFBMethodVisitor,1,33,0,100,2,0,0.008372378830939395,2
edu.umd.cs.findbugs.asm.ClassNodeDetector,6,75,,0,4,2,0.00822097147066724,3
edu.umd.cs.findbugs.asm.FBClassReader,,,,0,4,0,0.006444163287642283,3
edu.umd.cs.findbugs.asm.FBMethodVisitor,,,,0,1,0,4.9E-324,1
edu.umd.cs.findbugs.ba.AbstractBlockOrder,0,0,,0,1,0,0.007835081417615125,3
edu.umd.cs.findbugs.ba.AbstractClassMember,45,83,82,32,9,2,0.007295258180613759,2
edu.umd.cs.findbugs.ba.AbstractDataflowTestDriver,3,67,100,0,3,0,0.007069200337246254,1
edu.umd.cs.findbugs.ba.AbstractDominatorsAnalysis,52,75,66,7,5,0,0.015588531166741196,3
edu.umd.cs.findbugs.ba.AbstractField,,,,0,199,0,0.007720093491040443,2
edu.umd.cs.findbugs.ba.AbstractMethod,,,,0,6,0,0.008281822292564705,8
edu.umd.cs.findbugs.ba.AccessibleEntity,,,,0,9,0,0.009462626964146193,2
edu.umd.cs.findbugs.ba.AnalysisCacheToAnalysisContextAdapter,274,94,100,0,11,4,0.005267591759738326,13
edu.umd.cs.findbugs.ba.AnalysisContext,1427,97,95,1,23,0,0.0053447902593106375,32
edu.umd.cs.findbugs.ba.AnalysisException,21,100,,,7,0,0.01615903552588957,3
edu.umd.cs.findbugs.ba.AnalysisFeatures,,,,,22,0,-2.0,5
edu.umd.cs.findbugs.ba.AnnotationRetentionDatabase,0,0,0,100,1,0,0.008920533595220556,3
edu.umd.cs.findbugs.ba.AssertionMethods,9,67,67,0,2,0,0.005053343495713759,8
edu.umd.cs.findbugs.ba.AssignedFieldMap,,,,,18,0,-2.0,2
edu.umd.cs.findbugs.ba.BasicBlock,182,83,87,18,4,0,0.005884502075125694,7
