Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.gui.VariableGridLayout,145,85,56,2,0,7,450,0,0,0.008960916294241006,3
org.gjt.sp.jedit.gui.statusbar.BufferSetWidgetFactory,,,,0,0,1,5,2,3,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.ClockWidgetFactory,,,,0,0,1,5,1,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.EncodingWidgetFactory,,,,0,0,1,5,3,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory,,,,0,0,1,5,2,5,4.9E-324,8
org.gjt.sp.jedit.gui.statusbar.FoldWidgetFactory,,,,0,0,1,5,2,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.LineSepWidgetFactory,,,,0,0,1,5,1,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.MemoryStatusWidgetFactory,,,,0,0,1,5,1,2,4.9E-324,2
org.gjt.sp.jedit.gui.statusbar.ModeWidgetFactory,,,,0,0,1,5,1,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.MultiSelectWidgetFactory,,,,0,0,1,5,2,2,4.9E-324,2
org.gjt.sp.jedit.gui.statusbar.OverwriteWidgetFactory,,,,0,0,1,5,1,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.RectSelectWidgetFactory,,,,0,0,1,5,2,2,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory,,,,0,0,1,5,1,3,4.9E-324,3
org.gjt.sp.jedit.gui.statusbar.StatusWidgetFactory,,,,0,0,1,1,1,0,4.9E-324,3
org.gjt.sp.jedit.gui.statusbar.ToolTipLabel,,,,0,0,1,4,1,0,4.9E-324,1
org.gjt.sp.jedit.gui.statusbar.Widget,,,,0,0,3,3,1,0,0.015449418370273551,5
org.gjt.sp.jedit.gui.statusbar.WrapWidgetFactory,,,,0,0,1,5,2,2,4.9E-324,3
org.gjt.sp.jedit.help.HelpHistoryModel,0,45,50,47,2,1,131,2,0,0.011192404437613592,2
org.gjt.sp.jedit.help.HelpHistoryModelListener,,,,0,0,1,1,1,0,4.9E-324,1
org.gjt.sp.jedit.help.HelpIndex,19,63,60,7,2,1,223,1,0,0.011989820807491012,4
org.gjt.sp.jedit.help.HelpSearchPanel,0,38,,,2,1,40,2,0,0.011696220341628172,2
org.gjt.sp.jedit.help.HelpTOCPanel,0,53,85,100,4,1,167,2,0,0.015050357567715082,7
org.gjt.sp.jedit.help.HelpViewer,46,80,93,21,4,4,253,3,1,0.00878129493290778,8
org.gjt.sp.jedit.help.HelpViewerInterface,,,,0,0,8,8,2,0,0.013409934606413529,0
org.gjt.sp.jedit.help.HistoryButton,2,75,67,67,1,2,52,1,0,0.009545932771620155,2
org.gjt.sp.jedit.indent.BracketIndentRule,4,40,0,17,3,2,54,2,1,0.06364748794504682,4
org.gjt.sp.jedit.indent.CloseBracketIndentRule,1,33,,0,4,2,64,2,3,0.03741680034023226,5
org.gjt.sp.jedit.indent.DeepIndentRule,3,67,,0,2,2,86,2,2,0.0381954624151716,4
org.gjt.sp.jedit.indent.IndentAction,1,100,,0,0,2,2,1,2,0.01406799531066823,2
org.gjt.sp.jedit.indent.IndentRule,,,,0,0,1,1,1,0,4.9E-324,5
org.gjt.sp.jedit.indent.IndentRuleFactory,,,,0,0,8,54,2,0,0.02218447498071522,3
org.gjt.sp.jedit.indent.OpenBracketIndentRule,6,75,,0,3,2,47,2,1,0.023409791568716178,4
org.gjt.sp.jedit.indent.RegexpIndentRule,0,52,86,33,2,1,53,1,2,0.06000366396631916,5
org.gjt.sp.jedit.indent.WhitespaceRule,,,,0,1,22,244,1,1,4.9E-324,3
org.gjt.sp.jedit.input.DefaultInputHandlerProvider,0,0,,0,0,1,8,0,0,0.012006861063464836,1
org.gjt.sp.jedit.input.InputHandlerProvider,,,,0,0,1,1,0,0,4.9E-324,1
org.gjt.sp.jedit.input.TextAreaInputHandler,25,50,0,17,3,1,274,3,0,0.011557571662212962,2
org.gjt.sp.jedit.io.AutoDetection,,,,0,0,3,81,2,0,0.012956599605626291,3
org.gjt.sp.jedit.io.CharsetEncoding,0,0,0,100,0,1,27,1,0,0.008761908314173953,2
org.gjt.sp.jedit.io.CopyFileWorker,0,0,,0,0,1,19,0,0,0.01588202679456592,7
org.gjt.sp.jedit.io.Encoding,,,,0,0,3,3,1,0,0.015752229873435858,3
org.gjt.sp.jedit.io.EncodingDetector,,,,0,0,1,1,1,0,4.9E-324,1
org.gjt.sp.jedit.io.EncodingServer,9,50,0,20,1,1,74,1,0,0.016082640467044287,1
org.gjt.sp.jedit.io.EncodingWithBOM,0,55,0,100,1,2,215,1,1,0.009825186222660466,2
org.gjt.sp.jedit.io.FavoritesVFS,10,58,50,43,1,2,119,1,3,0.01913777629732008,11
org.gjt.sp.jedit.io.FileRootsVFS,10,80,100,0,1,4,61,0,2,0.018658056811691724,3
org.gjt.sp.jedit.io.FileVFS,188,93,75,1,3,14,404,1,6,0.011885157481726489,16
org.gjt.sp.jedit.io.GlobVFSFileFilter,1,50,33,40,1,3,42,0,2,0.021518138619528258,0
org.gjt.sp.jedit.io.RegexEncodingDetector,1,56,,0,0,1,40,1,1,0.013250878478885078,2
org.gjt.sp.jedit.io.UrlVFS,,,,0,1,4,43,0,3,0.020090992054854838,3
org.gjt.sp.jedit.io.VFS,698,96,88,4,5,17,1523,3,1,0.015473954325091334,23
org.gjt.sp.jedit.io.VFSFile,440,92,95,4,4,3,275,1,1,0.019844693305762922,5
org.gjt.sp.jedit.io.VFSFileFilter,3,100,,0,0,3,3,0,0,0.018512555320030655,2
org.gjt.sp.jedit.io.VFSManager,136,88,91,18,3,6,691,0,0,0.011617542626031228,15
org.gjt.sp.jedit.io.XMLEncodingDetector,,,,0,0,1,54,1,1,0.01738639902621374,1
org.gjt.sp.jedit.menu.DirectoryProvider,1,33,,0,2,2,125,4,2,0.01346170011518133,1
org.gjt.sp.jedit.menu.DynamicMenuProvider,,,,0,0,2,2,3,0,0.011904761904761904,1
org.gjt.sp.jedit.menu.EnhancedCheckBoxMenuItem,0,44,0,100,0,1,56,4,0,0.022572875266417644,7
org.gjt.sp.jedit.menu.EnhancedMenu,22,78,75,0,2,5,97,4,1,0.012642373823167978,1
org.gjt.sp.jedit.menu.EnhancedMenuItem,0,47,50,100,0,2,200,4,0,0.007571624478592155,5
org.gjt.sp.jedit.menu.FavoritesProvider,,,,0,1,2,62,2,2,0.013779278566007372,3
org.gjt.sp.jedit.menu.MacrosProvider,,,,0,0,2,50,0,2,0.014028485242572806,5
org.gjt.sp.jedit.menu.MarkersProvider,,,,0,5,2,52,2,2,0.011238448554258361,1
org.gjt.sp.jedit.menu.MenuItemTextComparator,,,,0,0,1,19,3,0,4.9E-324,2
org.gjt.sp.jedit.menu.PluginsProvider,,,,0,2,2,152,1,2,0.019436335376062906,5
org.gjt.sp.jedit.menu.RecentDirectoriesProvider,,,,0,3,2,96,4,2,0.02044132442422303,1
org.gjt.sp.jedit.menu.RecentFilesProvider,,,,0,2,2,145,5,2,0.007131132767251005,3
org.gjt.sp.jedit.menu.ReloadWithEncodingProvider,1,33,0,33,3,2,99,7,2,0.02446617869677388,2
org.gjt.sp.jedit.msg.BufferChanging,0,0,,0,0,1,14,0,0,0.018518518518518517,1
org.gjt.sp.jedit.msg.BufferUpdate,0,90,50,33,1,2,28,3,1,0.012450622574829867,1
org.gjt.sp.jedit.msg.DockableWindowUpdate,0,70,50,67,0,1,25,1,1,0.01384858085198144,1
org.gjt.sp.jedit.msg.DynamicMenuChanged,0,0,0,100,0,1,14,0,1,0.01221640488656195,1
org.gjt.sp.jedit.msg.EditPaneUpdate,0,89,0,33,1,2,20,1,1,0.01607508548096986,0
org.gjt.sp.jedit.msg.EditorExitRequested,4,50,0,33,1,3,16,1,0,0.012735190080364417,0
org.gjt.sp.jedit.msg.EditorExiting,,,,,1,1,4,1,0,4.9E-324,0
org.gjt.sp.jedit.msg.EditorStarted,,,,,1,1,4,0,0,4.9E-324,0
org.gjt.sp.jedit.msg.PluginUpdate,0,80,50,33,1,2,27,2,1,0.01575664824154494,3
org.gjt.sp.jedit.msg.PositionChanging,,,,,0,3,12,0,0,0.012653143552124492,1
org.gjt.sp.jedit.msg.PropertiesChanged,,,,,1,1,4,2,0,4.9E-324,0
org.gjt.sp.jedit.msg.PropertiesChanging,0,0,,0,1,1,10,1,0,0.016379895973078963,0
org.gjt.sp.jedit.msg.RegisterChanged,0,0,0,100,1,1,17,1,1,0.02353276631927847,0
org.gjt.sp.jedit.msg.SearchSettingsChanged,,,,,1,1,4,1,0,4.9E-324,0
org.gjt.sp.jedit.msg.VFSPathSelected,2,50,100,0,1,2,18,0,0,0.012939607256614246,0
org.gjt.sp.jedit.msg.VFSUpdate,0,0,0,100,0,1,17,0,1,0.014769426364539678,0
org.gjt.sp.jedit.msg.ViewUpdate,0,85,0,33,1,2,21,0,1,0.011235955056179775,1
org.gjt.sp.jedit.options.AbbrevsOptionPane,3,67,66,,3,2,152,2,3,0.011644120759561949,4
org.gjt.sp.jedit.options.AppearanceOptionPane,2,61,60,,1,2,210,2,2,0.013578173153842549,13
org.gjt.sp.jedit.options.BrowserColorsOptionPane,0,60,66,,1,2,69,1,3,0.023656749595264207,2
org.gjt.sp.jedit.options.BrowserOptionPane,1,33,0,100,1,2,115,1,2,0.008883435634410686,3
org.gjt.sp.jedit.options.BufferOptionPane,1,33,0,,3,2,244,5,2,0.01130825503999025,7
org.gjt.sp.jedit.options.ContextOptionPane,,,,,0,3,12,0,0,0.01359283328183931,5
org.gjt.sp.jedit.options.DockingOptionPane,3,72,74,100,1,6,86,2,2,0.00739849059847912,6
org.gjt.sp.jedit.options.EditingOptionPane,0,41,37,,3,2,194,3,2,0.020669386431725043,15
org.gjt.sp.jedit.options.EncodingsOptionPane,1,43,29,,2,2,98,2,2,0.010219795466923245,6
org.gjt.sp.jedit.options.FirewallOptionPane,1,33,0,100,1,2,65,0,2,0.007983867005707808,1
org.gjt.sp.jedit.options.GeneralOptionPane,1,54,0,,1,2,180,2,2,0.012381860052280145,12
org.gjt.sp.jedit.options.GlobalOptions,,,,0,3,8,70,5,2,0.0154839189075096,7
org.gjt.sp.jedit.options.GutterOptionPane,29,80,85,24,2,2,318,3,2,0.009200307840181773,4
org.gjt.sp.jedit.options.IconTheme,3,67,,0,0,3,13,0,0,0.015493147145254347,1
org.gjt.sp.jedit.options.MouseOptionPane,1,33,0,0,1,2,92,3,2,0.011264579934567155,3
org.gjt.sp.jedit.options.PluginManagerOptionPane,2,58,65,,1,2,143,2,2,0.009972424436659754,6
org.gjt.sp.jedit.options.PluginOptions,13,67,0,,3,5,85,1,1,0.018612639378579467,4
org.gjt.sp.jedit.options.PrintOptionPane,1,33,0,,1,2,74,2,2,0.010600434660888943,3
org.gjt.sp.jedit.options.SaveBackupOptionPane,1,33,0,,1,2,110,1,2,0.01386409273905873,5
org.gjt.sp.jedit.options.ShortcutsOptionPane,16,73,71,,4,2,175,1,2,0.0138469422027796,26
org.gjt.sp.jedit.options.StatusBarOptionPane,0,50,50,,2,2,188,2,4,0.012114313586384576,8
org.gjt.sp.jedit.options.SyntaxHiliteOptionPane,8,80,50,,1,2,36,2,2,0.008944691947446537,2
org.gjt.sp.jedit.options.TextAreaOptionPane,1,33,0,100,4,2,178,3,2,0.011694393979783916,6
org.gjt.sp.jedit.options.ToolBarOptionPane,0,62,70,,3,2,148,3,4,0.017207875324906478,5
org.gjt.sp.jedit.options.ViewOptionPane,1,39,16,,1,2,169,5,2,0.008688550928090996,7
org.gjt.sp.jedit.pluginmgr.InstallPanel,0,76,67,100,4,2,153,3,1,0.019853845183253636,19
org.gjt.sp.jedit.pluginmgr.ManagePanel,0,72,67,0,3,2,146,4,0,0.019056103443702843,17
org.gjt.sp.jedit.pluginmgr.MirrorList,0,40,66,,0,1,82,1,0,0.01797892799677471,4
org.gjt.sp.jedit.pluginmgr.MirrorListHandler,29,79,81,20,1,2,81,2,0,0.01759023755950783,1
org.gjt.sp.jedit.pluginmgr.PluginDetailPanel,0,17,,,1,1,40,2,0,0.01811943202349294,6
org.gjt.sp.jedit.pluginmgr.PluginList,2,71,81,,4,1,168,1,0,0.010890774600137812,9
org.gjt.sp.jedit.pluginmgr.PluginListHandler,29,78,82,29,1,2,180,1,0,0.013778130879200545,0
org.gjt.sp.jedit.pluginmgr.PluginManager,40,85,89,19,3,1,229,3,1,0.0170964112929522,16
org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,0,67,100,60,1,2,97,1,0,0.013206854673536418,3
org.gjt.sp.jedit.pluginmgr.Roster,3,67,72,0,3,2,101,1,1,0.017920836122807406,5
org.gjt.sp.jedit.print.BufferPrintable,0,69,91,0,6,1,301,2,0,0.011230670900764034,5
org.gjt.sp.jedit.print.BufferPrinter1_3,0,13,16,100,2,1,67,1,0,0.01448522388994546,3
org.gjt.sp.jedit.print.BufferPrinter1_4,0,30,37,100,2,1,140,1,0,0.01696426801912622,5
org.gjt.sp.jedit.proto.jeditresource.Handler,,,,0,1,1,7,0,0,4.9E-324,0
org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,0,42,67,67,2,1,89,0,0,0.0166231641993218,5
org.gjt.sp.jedit.search.AllBufferSet,0,0,0,100,1,1,39,3,1,0.022766087335553527,5
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,0,65,75,100,2,1,199,1,1,0.012660213990724685,6
org.gjt.sp.jedit.search.BufferListSet,1,29,0,67,3,2,85,2,0,0.012878449076136386,6
org.gjt.sp.jedit.search.CurrentBufferSet,,,,0,2,5,23,2,0,0.016941261046972248,2
org.gjt.sp.jedit.search.DirectoryListSet,0,58,74,43,2,1,94,2,1,0.024862023489314926,3
org.gjt.sp.jedit.search.HyperSearchFileNode,7,71,81,27,1,3,87,2,1,0.027311579233354658,1
org.gjt.sp.jedit.search.HyperSearchFolderNode,0,33,67,100,0,2,54,2,0,0.012846912978650133,1
org.gjt.sp.jedit.search.HyperSearchNode,,,,0,0,2,2,1,0,0.011326860841423947,1
org.gjt.sp.jedit.search.HyperSearchOperationNode,23,73,84,14,1,3,165,3,0,0.030252448120020026,3
org.gjt.sp.jedit.search.HyperSearchRequest,0,57,94,0,9,1,234,2,0,0.01785711958373139,15
org.gjt.sp.jedit.search.HyperSearchResult,0,67,76,40,5,1,105,5,1,0.013431838224973505,5
org.gjt.sp.jedit.search.HyperSearchResults,79,86,92,24,9,12,359,6,5,0.08330496699721746,6
org.gjt.sp.jedit.search.HyperSearchTreeNodeCallback,,,,0,0,1,1,1,0,4.9E-324,1
org.gjt.sp.jedit.search.PatternSearchMatcher,2,47,34,100,2,1,154,1,1,0.012970287825377971,2
org.gjt.sp.jedit.search.SearchAndReplace,551,85,83,11,11,4,1007,12,0,0.022117692267532275,22
org.gjt.sp.jedit.search.SearchBar,0,73,92,17,7,1,254,3,0,0.012327208079200912,4
org.gjt.sp.jedit.search.SearchDialog,59,82,83,14,7,1,762,4,4,0.007311911724036961,14
org.gjt.sp.jedit.search.SearchFileSet,,,,0,0,5,5,2,0,0.0160544645952506,1
org.gjt.sp.jedit.search.SearchMatcher,1,50,,0,0,2,5,1,0,0.016020948749885452,4
org.gjt.sp.jedit.syntax.Chunk,0,72,79,14,2,2,607,1,0,0.010229363929253141,28
org.gjt.sp.jedit.syntax.DefaultTokenHandler,20,71,66,20,1,2,52,0,1,0.017238518705022764,1
org.gjt.sp.jedit.syntax.DisplayTokenHandler,1,66,77,100,3,1,148,1,1,0.018140251847326507,24
org.gjt.sp.jedit.syntax.DummyTokenHandler,1,100,,0,0,2,5,0,1,0.011419249592169656,1
org.gjt.sp.jedit.syntax.KeywordMap,16,67,78,25,1,1,110,0,0,0.04472786576678731,2
org.gjt.sp.jedit.syntax.ModeProvider,16,75,0,29,2,1,120,1,0,0.013260117596425543,13
org.gjt.sp.jedit.syntax.ParserRule,36,83,90,39,0,1,249,1,0,0.1649855382221724,4
org.gjt.sp.jedit.syntax.ParserRuleSet,389,92,95,6,2,10,596,1,0,0.1773835485286548,5
org.gjt.sp.jedit.syntax.SyntaxStyle,0,50,100,0,0,1,18,0,0,0.011705685618729096,1
org.gjt.sp.jedit.syntax.SyntaxUtilities,,,,0,0,1,21,1,0,4.9E-324,2
org.gjt.sp.jedit.syntax.Token,4,92,100,0,0,3,27,1,0,0.02946017105792566,1
org.gjt.sp.jedit.syntax.TokenHandler,,,,0,0,2,2,1,0,0.025889626413129516,1
org.gjt.sp.jedit.syntax.TokenMarker,31,73,75,40,5,2,693,3,0,0.16011396645539544,7
org.gjt.sp.jedit.syntax.XModeHandler,72,84,87,29,4,3,399,2,0,0.18925614031597582,3
org.gjt.sp.jedit.textarea.Anchor,7,72,50,0,2,3,77,2,0,0.012599704442626886,2
org.gjt.sp.jedit.textarea.AntiAlias,0,80,33,60,0,1,39,0,0,0.013149859676232148,5
org.gjt.sp.jedit.textarea.BufferHandler,0,58,64,100,8,1,356,3,8,0.01124629127713421,3
org.gjt.sp.jedit.textarea.ChunkCache,65,76,74,,9,3,557,1,0,0.010707992843722985,4
org.gjt.sp.jedit.textarea.CircleFoldPainter,,,,,0,1,4,1,1,4.9E-324,2
org.gjt.sp.jedit.textarea.DisplayManager,44,78,81,38,9,1,655,3,0,0.013622365085922114,14
org.gjt.sp.jedit.textarea.ExtensionManager,0,17,0,,3,2,112,0,0,0.014405475750774228,2
org.gjt.sp.jedit.textarea.FirstLine,0,22,0,100,4,2,301,1,3,0.015659678826438,4
org.gjt.sp.jedit.textarea.FoldPainter,,,,0,0,3,3,1,0,0.01615751880671465,3
org.gjt.sp.jedit.textarea.Gutter,869,95,95,7,8,2,535,6,0,0.010900681650953445,6
org.gjt.sp.jedit.textarea.GutterPopupHandler,,,,0,0,1,1,0,0,4.9E-324,2
org.gjt.sp.jedit.textarea.InputMethodSupport,0,60,64,100,4,1,204,1,1,0.007382399975649432,2
org.gjt.sp.jedit.textarea.JEditEmbeddedTextArea,,,,,2,1,9,0,0,4.9E-324,2
org.gjt.sp.jedit.textarea.JEditTextArea,362,88,77,13,5,14,363,8,8,0.01461966459184212,11
org.gjt.sp.jedit.textarea.MouseActions,0,0,,0,1,1,20,0,0,0.013110165910153359,1
org.gjt.sp.jedit.textarea.MouseActionsProvider,,,,0,0,1,1,0,0,4.9E-324,1
org.gjt.sp.jedit.textarea.MouseHandler,0,0,0,100,6,1,126,3,2,0.019521457443006027,4
org.gjt.sp.jedit.textarea.RangeMap,0,29,31,,0,1,389,1,0,0.01818861167820896,1
org.gjt.sp.jedit.textarea.ScreenLineManager,0,44,45,100,1,1,72,0,0,0.018337050909401232,3
org.gjt.sp.jedit.textarea.ScrollLayout,0,50,50,100,0,1,144,1,0,0.01055806938159879,2
org.gjt.sp.jedit.textarea.ScrollLineCount,,,,0,3,3,24,1,3,0.0195934738060127,3
org.gjt.sp.jedit.textarea.ScrollListener,,,,0,0,2,2,1,0,0.02109714306047064,0
org.gjt.sp.jedit.textarea.Selection,88,78,70,19,0,9,62,3,3,0.015621832943779735,4
org.gjt.sp.jedit.textarea.SelectionManager,0,43,40,0,4,1,300,2,0,0.01944812295841942,6
org.gjt.sp.jedit.textarea.ShapedFoldPainter,,,,0,2,3,41,1,3,0.013368781626651203,3
org.gjt.sp.jedit.textarea.SquareFoldPainter,,,,,0,1,4,1,1,4.9E-324,2
org.gjt.sp.jedit.textarea.StandaloneTextArea,184,85,0,0,9,2,389,12,1,0.018441002844362644,14
org.gjt.sp.jedit.textarea.StatusListener,3,100,,0,0,3,3,1,0,0.016020124939310616,0
org.gjt.sp.jedit.textarea.StructureMatcher,,,,0,0,2,2,2,1,0.014393369646229764,2
org.gjt.sp.jedit.textarea.TextArea,18047,97,96,21,15,19,10600,15,8,0.009777047937652064,49
org.gjt.sp.jedit.textarea.TextAreaBorder,,,,0,0,2,22,1,0,0.014714182946469022,1
org.gjt.sp.jedit.textarea.TextAreaDropHandler,0,33,33,100,2,1,45,1,0,0.014243116812000623,2
org.gjt.sp.jedit.textarea.TextAreaException,,,,,0,1,4,0,0,4.9E-324,1
org.gjt.sp.jedit.textarea.TextAreaExtension,,,,0,0,2,26,0,0,0.009485094850948509,1
org.gjt.sp.jedit.textarea.TextAreaMouseHandler,0,67,56,14,5,1,496,4,2,0.011969592447645191,6
org.gjt.sp.jedit.textarea.TextAreaPainter,1071,96,96,11,4,8,1293,7,1,0.00696460564930292,19
org.gjt.sp.jedit.textarea.TextAreaTransferHandler,16,70,53,0,6,2,361,4,0,0.016113616460913114,15
org.gjt.sp.jedit.textarea.TriangleFoldPainter,,,,0,1,3,35,1,3,0.018819562870943274,3
org.gjt.sp.jedit.visitors.JEditVisitor,,,,0,0,3,3,0,0,0.03174218179029734,2
org.gjt.sp.jedit.visitors.JEditVisitorAdapter,,,,0,0,3,9,0,1,0.011419249592169656,2
org.gjt.sp.jedit.visitors.SaveCaretInfoVisitor,,,,0,1,1,4,0,1,4.9E-324,2
org.gjt.sp.util.IOUtilities,,,,0,0,7,172,0,0,0.014861425433234175,9
org.gjt.sp.util.IntegerArray,4,50,50,60,0,2,39,0,0,0.015000215165383015,1
org.gjt.sp.util.Log,21,82,86,24,1,2,575,0,0,0.0068360860400761385,10
org.gjt.sp.util.ProgressObserver,,,,0,0,3,3,0,0,0.013384321223709365,1
org.gjt.sp.util.PropertiesBean,10,56,62,100,0,1,183,0,0,0.012363497597850812,2
org.gjt.sp.util.ReadWriteLock,0,0,0,100,0,1,20,0,0,0.01261635328982126,1
org.gjt.sp.util.ReverseCharSequence,0,0,0,100,0,1,32,0,0,0.020959456891012283,0
org.gjt.sp.util.SegmentBuffer,,,,0,0,1,27,0,0,0.012660190858541427,1
org.gjt.sp.util.SegmentCharSequence,0,46,41,83,0,1,35,0,0,0.014619276250108773,1
org.gjt.sp.util.StandardUtilities,,,,0,0,22,460,1,0,0.014392370222021979,10
org.gjt.sp.util.StringList,45,100,,0,0,4,72,0,0,0.014249541686099109,3
org.gjt.sp.util.SyntaxUtilities,21,86,,0,1,4,128,0,0,0.017431775770728502,2
org.gjt.sp.util.ThreadAbortMonitor,,,,0,0,1,1,0,0,4.9E-324,1
org.gjt.sp.util.WorkRequest,13,67,0,7,0,5,56,0,0,0.015226589755943843,6
org.gjt.sp.util.WorkThread,35,75,78,16,1,1,140,0,0,0.012233427451428773,4
org.gjt.sp.util.WorkThreadPool,26,83,85,50,1,1,303,0,0,0.009456753340492547,8
org.gjt.sp.util.WorkThreadProgressListener,,,,0,0,2,2,0,0,0.01232394366197183,1
org.gjt.sp.util.XMLUtilities,,,,0,0,4,107,0,0,0.009951906400908825,4
