Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.bsh.BSHAssignment,3,67,,0,5,2,141,1,1,0.010834349736128087,0
org.gjt.sp.jedit.bsh.BSHBinaryExpression,6,75,,0,3,2,171,1,1,0.009455776032148295,0
org.gjt.sp.jedit.bsh.BSHBlock,4,50,0,0,1,3,89,1,1,0.011652542458075756,0
org.gjt.sp.jedit.bsh.BSHCastExpression,,,,0,2,2,21,1,1,0.01206912125482659,0
org.gjt.sp.jedit.bsh.BSHClassDeclaration,1,67,80,100,3,2,44,1,2,0.01164697896987331,0
org.gjt.sp.jedit.bsh.BSHEnhancedForStatement,1,50,,0,7,2,86,1,1,0.011614189171554637,0
org.gjt.sp.jedit.bsh.BSHForStatement,1,56,,0,2,2,88,1,1,0.009458695108802578,0
org.gjt.sp.jedit.bsh.BSHFormalComment,,100,,,0,1,3,2,0,4.9E-324,0
org.gjt.sp.jedit.bsh.BSHFormalParameter,3,78,,0,1,3,21,1,1,0.017676302988663014,0
org.gjt.sp.jedit.bsh.BSHFormalParameters,2,65,75,33,2,2,59,1,1,0.011513157894736843,0
org.gjt.sp.jedit.bsh.BSHIfStatement,,,,0,1,2,37,1,1,0.012891344383057087,0
org.gjt.sp.jedit.bsh.BSHImportDeclaration,1,50,,0,2,2,36,1,1,0.012544802867383513,0
org.gjt.sp.jedit.bsh.BSHLiteral,4,40,0,100,0,2,94,1,1,0.012350535376213084,0
org.gjt.sp.jedit.bsh.BSHMethodDeclaration,8,73,81,100,4,2,104,1,2,0.0115246081269907,0
org.gjt.sp.jedit.bsh.BSHMethodInvocation,,,,0,4,2,54,1,1,0.01312827183558096,0
org.gjt.sp.jedit.bsh.BSHPackageDeclaration,,,,0,2,2,13,1,1,0.012716370732871624,0
org.gjt.sp.jedit.bsh.BSHPrimaryExpression,,,,0,2,2,61,1,1,0.012281793183041132,0
org.gjt.sp.jedit.bsh.BSHPrimarySuffix,15,86,100,0,3,2,219,0,0,0.01077427507391122,0
org.gjt.sp.jedit.bsh.BSHPrimitiveType,1,50,,0,0,2,2,1,0,0.01631065849219803,0
org.gjt.sp.jedit.bsh.BSHReturnStatement,1,50,,0,1,2,12,1,1,0.012433392539964476,0
org.gjt.sp.jedit.bsh.BSHReturnType,4,50,0,100,2,2,21,1,0,0.014710538906698314,0
org.gjt.sp.jedit.bsh.BSHStatementExpressionList,,,,0,1,2,12,1,1,0.012658227848101266,0
org.gjt.sp.jedit.bsh.BSHSwitchLabel,1,50,,0,1,2,9,1,1,0.012601900267982722,0
org.gjt.sp.jedit.bsh.BSHSwitchStatement,,,,0,5,2,88,1,1,0.013303714153413462,0
org.gjt.sp.jedit.bsh.BSHTernaryExpression,,,,0,1,2,14,1,1,0.012773722627737226,0
org.gjt.sp.jedit.bsh.BSHThrowStatement,,,,0,1,2,15,1,1,0.015505084158296921,0
org.gjt.sp.jedit.bsh.BSHTryStatement,,,,0,6,2,148,1,1,0.009802472803039098,0
org.gjt.sp.jedit.bsh.BSHType,18,72,70,43,3,3,130,1,1,0.010520663129027259,0
org.gjt.sp.jedit.bsh.BSHTypedVariableDeclaration,15,83,,0,5,2,57,1,1,0.013501509936402865,0
org.gjt.sp.jedit.bsh.BSHUnaryExpression,8,70,50,0,3,2,87,1,1,0.013234324661378897,0
org.gjt.sp.jedit.bsh.BSHVariableDeclarator,3,67,,0,1,3,34,1,1,0.017104281608066995,0
org.gjt.sp.jedit.bsh.BSHWhileStatement,1,50,,0,2,2,53,1,1,0.01181023664401292,0
org.gjt.sp.jedit.bsh.BlockNameSpace,,,,0,1,7,53,2,0,0.012883316412782704,0
org.gjt.sp.jedit.bsh.BshClassManager,462,92,87,4,1,8,285,1,1,0.007999595748621299,0
org.gjt.sp.jedit.bsh.BshIterator,,,,0,0,2,2,1,0,0.016020948749885452,0
org.gjt.sp.jedit.bsh.BshMethod,55,81,92,6,8,2,264,1,0,0.01292085971432914,0
org.gjt.sp.jedit.bsh.CallStack,6,31,0,65,1,1,56,1,0,0.012598005591359525,0
