Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
net.sf.freecol.client.gui.action.ImprovementAction,0,50,37,100,1,2,0.008072583829775638,12
net.sf.freecol.client.gui.action.ImprovementActionType,5,61,75,40,2,2,0.010901425095189697,8
net.sf.freecol.client.gui.action.LoadAction,6,88,,0,4,1,0.01238719295259922,12
net.sf.freecol.client.gui.action.MapControlsAction,13,83,75,0,3,1,0.02680760648163287,15
net.sf.freecol.client.gui.action.MapboardAction,10,100,,,5,1,0.014527742235813589,12
net.sf.freecol.client.gui.action.MiniMapChangeBackgroundAction,8,80,0,0,5,1,0.012868825115480202,2
net.sf.freecol.client.gui.action.MiniMapZoomInAction,6,88,,0,4,1,0.013519375419393184,11
net.sf.freecol.client.gui.action.MiniMapZoomOutAction,6,88,,0,4,1,0.01032705795477381,11
net.sf.freecol.client.gui.action.NewAction,6,88,,0,4,1,0.01020408163265306,8
net.sf.freecol.client.gui.action.NewEmptyMapAction,10,90,,0,4,1,0.016871152678546074,21
net.sf.freecol.client.gui.action.OpenAction,6,88,,0,4,1,0.014382445508722584,6
net.sf.freecol.client.gui.action.PreferencesAction,10,90,,0,5,1,0.013934676299770844,7
net.sf.freecol.client.gui.action.QuitAction,3,83,,0,3,0,0.011342223058912825,9
net.sf.freecol.client.gui.action.ReconnectAction,10,90,,0,5,1,0.012495740189777747,6
net.sf.freecol.client.gui.action.RenameAction,6,88,,0,4,1,0.015082840603948858,9
net.sf.freecol.client.gui.action.ReportCargoAction,6,88,,0,4,2,0.01733756195629704,11
net.sf.freecol.client.gui.action.ReportColonyAction,6,88,,0,4,1,0.015855183744665637,11
net.sf.freecol.client.gui.action.ReportContinentalCongressAction,6,88,,0,4,1,0.04895198020091306,10
net.sf.freecol.client.gui.action.ReportExplorationAction,6,88,,0,4,1,0.02931289944647485,11
net.sf.freecol.client.gui.action.ReportForeignAction,6,88,,0,4,1,0.052987483521887965,10
net.sf.freecol.client.gui.action.ReportHighScoresAction,6,88,,0,4,1,0.0228259493052955,8
net.sf.freecol.client.gui.action.ReportHistoryAction,6,88,,0,4,1,0.027249624177926136,11
net.sf.freecol.client.gui.action.ReportIndianAction,6,88,,0,4,2,0.031434238222383185,10
net.sf.freecol.client.gui.action.ReportLabourAction,6,88,,0,4,1,0.02715854953150619,11
net.sf.freecol.client.gui.action.ReportMilitaryAction,6,88,,0,4,1,0.040335400310802,10
net.sf.freecol.client.gui.action.ReportNavalAction,6,88,,0,4,1,0.028185523041617887,10
net.sf.freecol.client.gui.action.ReportReligionAction,6,88,,0,4,2,0.032200291785972175,10
net.sf.freecol.client.gui.action.ReportRequirementsAction,6,88,,0,4,1,0.027419469478028893,10
net.sf.freecol.client.gui.action.ReportTradeAction,6,88,,0,4,1,0.037175469783116054,10
net.sf.freecol.client.gui.action.ReportTurnAction,6,88,,0,4,1,0.01391548299220562,8
net.sf.freecol.client.gui.action.RetireAction,6,88,,0,4,1,0.011352924639022864,8
net.sf.freecol.client.gui.action.SaveAction,6,88,,0,4,1,0.010067114093959731,10
net.sf.freecol.client.gui.action.ScaleMapAction,15,92,,0,4,1,0.020566091718257077,22
net.sf.freecol.client.gui.action.SelectableAction,26,88,75,17,7,1,0.01857908272264984,8
net.sf.freecol.client.gui.action.SentryAction,6,88,,0,4,1,0.009146341463414634,13
net.sf.freecol.client.gui.action.ShowMainAction,6,88,,0,4,1,0.040505400195048634,12
net.sf.freecol.client.gui.action.SkipUnitAction,6,88,,0,4,1,0.011573668268292871,11
net.sf.freecol.client.gui.action.ToggleViewModeAction,3,83,,0,3,0,0.010536858107984104,11
net.sf.freecol.client.gui.action.TradeRouteAction,6,88,,0,4,1,0.015431972066276294,12
net.sf.freecol.client.gui.action.UnloadAction,15,92,,0,4,1,0.017352865618219446,24
net.sf.freecol.client.gui.action.WaitAction,3,83,,0,3,0,0.013657626393512938,8
net.sf.freecol.client.gui.action.ZoomInAction,6,75,100,0,4,2,0.015402786256977732,15
net.sf.freecol.client.gui.action.ZoomOutAction,6,75,100,0,4,2,0.011773698812800994,17
net.sf.freecol.client.gui.animation.Animation,17,76,67,0,2,0,0.015003779097706029,0
net.sf.freecol.client.gui.animation.UnitMoveAnimation,14,74,90,0,1,0,0.03404852482506284,21
net.sf.freecol.client.gui.i18n.Messages,9,77,85,20,1,0,0.012033107942822417,61
net.sf.freecol.client.gui.menu.DebugMenu,0,0,,,1,0,0.022769511295647527,71
net.sf.freecol.client.gui.option.AudioMixerOptionUI,0,50,50,90,1,4,0.010208484232256428,17
net.sf.freecol.client.gui.option.BooleanOptionUI,0,56,55,76,1,4,0.01170549882795798,12
net.sf.freecol.client.gui.option.FileOptionUI,0,57,60,67,1,4,0.012344861184405104,15
net.sf.freecol.client.gui.option.FreeColActionUI,25,76,60,17,3,4,0.007959700245864513,13
net.sf.freecol.client.gui.option.IntegerOptionUI,0,50,50,90,1,5,0.008700865441731941,13
net.sf.freecol.client.gui.option.LanguageOptionUI,0,50,50,90,1,4,0.008455770640556394,13
net.sf.freecol.client.gui.option.OptionGroupUI,0,56,0,100,1,4,0.010971698741546652,36
net.sf.freecol.client.gui.option.OptionMapUI,0,68,62,60,2,4,0.012017877165022521,17
net.sf.freecol.client.gui.option.OptionUpdater,,,,0,4,0,0.013824932423326228,6
net.sf.freecol.client.gui.option.PercentageOptionUI,0,50,50,90,1,5,0.014161935480102158,11
net.sf.freecol.client.gui.option.RangeOptionUI,0,50,50,90,1,5,0.00946919546753438,13
net.sf.freecol.client.gui.option.SelectOptionUI,0,50,50,90,1,5,0.013343250038019481,18
net.sf.freecol.client.gui.panel.AboutPanel,0,25,,0,1,1,0.011708843124894291,10
net.sf.freecol.client.gui.panel.AdvantageCellEditor,,,,0,2,0,0.010135135135135136,7
net.sf.freecol.client.gui.panel.AdvantageCellRenderer,0,66,71,100,2,0,0.007075471698113208,7
net.sf.freecol.client.gui.panel.BuildQueuePanel,6,75,,0,3,3,0.053009649614361415,64
net.sf.freecol.client.gui.panel.BuildingProductionPanel,0,33,100,0,1,0,0.01282422191070565,1
net.sf.freecol.client.gui.panel.CaptureGoodsDialog,0,63,75,33,1,2,0.012769185824916653,17
net.sf.freecol.client.gui.panel.CargoPanel,40,79,87,22,3,0,0.016045902198353095,28
net.sf.freecol.client.gui.panel.ChatPanel,0,50,90,33,1,0,0.052718976697452805,11
net.sf.freecol.client.gui.panel.ChoiceItem,0,42,75,33,3,0,0.031180775985614,7
net.sf.freecol.client.gui.panel.ChooseFoundingFatherDialog,0,58,75,33,2,0,0.04212277821085633,20
net.sf.freecol.client.gui.panel.ClientOptionsDialog,7,68,90,10,2,0,0.03524661211196178,33
net.sf.freecol.client.gui.panel.ColonyPanel,442,92,96,13,2,1,0.005973670655550049,213
net.sf.freecol.client.gui.panel.ColonyTileProductionPanel,0,33,100,0,1,0,0.019143319685273212,1
net.sf.freecol.client.gui.panel.ColopediaPanel,720,92,89,6,2,1,0.005585013694659297,78
net.sf.freecol.client.gui.panel.ColopediaTreeCellRenderer,1,100,,0,2,0,0.014123251590235458,4
net.sf.freecol.client.gui.panel.ColopediaTreeItem,3,63,100,0,1,0,0.026244372551550488,8
net.sf.freecol.client.gui.panel.ColorCellEditor,0,68,88,67,1,0,0.014990884482623834,9
net.sf.freecol.client.gui.panel.ColorCellRenderer,0,25,,0,1,0,0.009837509718829152,3
net.sf.freecol.client.gui.panel.DeclarationDialog,1,60,,0,2,0,0.07811716126592816,11
net.sf.freecol.client.gui.panel.DefaultTransferHandler,13,74,86,0,4,0,0.14534866960128484,48
net.sf.freecol.client.gui.panel.DragListener,30,67,,33,1,0,0.023458766258304228,71
net.sf.freecol.client.gui.panel.DumpCargoDialog,0,50,75,67,1,1,0.04391214854747287,10
net.sf.freecol.client.gui.panel.EmigrationPanel,0,50,75,67,1,3,0.046534865563647866,9
net.sf.freecol.client.gui.panel.ErrorPanel,0,58,90,33,1,2,0.061021724408259745,17
net.sf.freecol.client.gui.panel.EuropePanel,77,82,89,20,1,1,0.011375938888142955,89
net.sf.freecol.client.gui.panel.EventPanel,0,65,100,0,1,0,0.020305751853176648,11
net.sf.freecol.client.gui.panel.FileList,,,,0,1,0,0.019100841039521123,3
net.sf.freecol.client.gui.panel.FindColonyDialog,2,69,100,0,2,1,0.009086793314674107,0
net.sf.freecol.client.gui.panel.FreeColDialog,147,85,17,3,7,0,0.015751923378823373,28
net.sf.freecol.client.gui.panel.FreeColImageBorder,22,63,0,17,1,0,0.013526351920810623,3
net.sf.freecol.client.gui.panel.FreeColPanel,116,96,98,2,14,1,0.007432048683705897,59
net.sf.freecol.client.gui.panel.FreeColProgressBar,3,68,69,100,1,0,0.02186349755588419,11
net.sf.freecol.client.gui.panel.GameOptionsDialog,5,67,90,20,2,0,0.0658561243200359,25
net.sf.freecol.client.gui.panel.GoodsLabel,12,73,83,20,1,0,0.012954713296840278,17
net.sf.freecol.client.gui.panel.ImageProvider,,,,0,8,0,0.015698139611970006,1
net.sf.freecol.client.gui.panel.ImageSelection,4,75,,0,2,0,0.02654419580072154,2
net.sf.freecol.client.gui.panel.IndianSettlementPanel,0,53,100,0,1,0,0.02390807291516349,27
net.sf.freecol.client.gui.panel.InfoPanel,2,76,80,47,1,0,0.007076305334752077,40
net.sf.freecol.client.gui.panel.InformationDialog,4,71,,0,3,0,0.026766112746151333,12
net.sf.freecol.client.gui.panel.LabourData,33,79,90,0,3,0,0.0062255578123311716,13
net.sf.freecol.client.gui.panel.LoadingSavegameDialog,8,76,95,14,1,0,0.021794323341950184,10
net.sf.freecol.client.gui.panel.MainPanel,2,53,100,0,2,0,0.0525199677942006,13
net.sf.freecol.client.gui.panel.MapControls,0,67,77,62,1,0,0.014048598389651371,31
net.sf.freecol.client.gui.panel.MapEditorTransformPanel,0,40,67,,1,1,0.009869518253063569,42
net.sf.freecol.client.gui.panel.MapGeneratorOptionsDialog,5,67,86,20,2,0,0.047462668260523595,30
net.sf.freecol.client.gui.panel.MarketLabel,19,73,85,25,1,0,0.014246814709727496,17
net.sf.freecol.client.gui.panel.MiniMap,63,83,76,25,6,0,0.010154869738093273,33
net.sf.freecol.client.gui.panel.MonarchPanel,0,53,94,33,1,1,0.01647069023755713,18
net.sf.freecol.client.gui.panel.NationCellEditor,,,,0,2,0,0.011627906976744186,4
net.sf.freecol.client.gui.panel.NationCellRenderer,0,44,62,100,1,0,0.009036144578313253,5
net.sf.freecol.client.gui.panel.NegotiationDialog,25,83,87,71,1,0,0.007490945652581532,32
net.sf.freecol.client.gui.panel.NewPanel,8,70,90,0,1,1,0.005657345738732234,43
net.sf.freecol.client.gui.panel.PreCombatDialog,,0,,,1,0,4.9E-324,19
net.sf.freecol.client.gui.panel.ProductionLabel,186,86,88,19,1,0,0.01095139240574002,26
net.sf.freecol.client.gui.panel.ProductionMultiplesLabel,258,86,90,20,1,0,0.011111085953095158,11
net.sf.freecol.client.gui.panel.RecruitDialog,0,47,87,67,1,3,0.020530923615867523,16
net.sf.freecol.client.gui.panel.ReportCargoPanel,4,50,,0,2,2,0.08327546773334406,24
net.sf.freecol.client.gui.panel.ReportColonyPanel,15,71,50,100,2,4,0.031608292687704154,62
net.sf.freecol.client.gui.panel.ReportContinentalCongressPanel,0,10,,0,1,2,0.034411668331317875,20
net.sf.freecol.client.gui.panel.ReportExplorationPanel,1,50,,0,2,2,0.016281368954141916,10
net.sf.freecol.client.gui.panel.ReportForeignAffairPanel,,,,0,2,2,0.0734416085131714,19
